Id:key,English,Chinese,Japanese,Portuguese,Spanish,German,French,Korean,Arabic,Russian
language_name,English,中文,日本語,Português,Español,Deutsch,Français,한국인,العربية,Русский
Audio,Audio,声音,オーディオ,Áudio,Audio,Audio,Audio,오디오,الصوت,Аудио
Vibrate,Vibrate,震动,バイブレーション,Vibrar,Vibrar,Vibrieren,Vibrer,진동,اهتزاز,Вибрация
Start,Start,开始,開始,Iniciar,Iniciar,Start,Démarrer,시작,ابدأ,Начать
Continue,Continue,继续,続行,Continuar,Continuar,Fortfahren,Continuer,계속,استمر,Продолжить
ConsumeCoins,Consume xxx Conis,消耗xxx金币,xxx Conis を消費,Consumir xxx Conis,Consumir xxx Conis,xxx Conis konsumieren,Consommer xxx Conis,xxx Conis 소비,استهلك xxx Conis,Потреблять xxx Conis
GameOver,Game Over,游戏结束,ゲームオーバー,Fim de jogo,Fin del juego,Game Over,Jeu terminé,게임 종료,انتهت اللعبة,Игра окончена
TryAgain,Retry,再来一次,再試行,Repetir,Reintentar,Wiederholen,Réessayer,재시도,أعد المحاولة,Повторить
OutOfSteps,Out of Steps,步数用尽,ステップ不足,Fora de etapas,Pasos fuera de juego,Keine Schritte mehr,Pas terminé,단계 없음,خارج الخطوات,Вышел из Шагов
Step,Step,步,ステップ,Etapa,Paso,Schritt,Étape,단계,الخطوة,Шаг
StepNumber,Steps,步数,ステップ,Etapas,Pasos,Schritte,Étapes,단계,الخطوات,Шаги
Settings,Settings,设置,設定,Configurações,Configuración,Einstellungen,Paramètres,설정,الإعدادات,Настройки
UserAgreement,User Agreement,用户协议,利用規約,Contrato do usuário,Acuerdo de usuario,Benutzervereinbarung,Contrat d'utilisation,사용자 계약,اتفاقية المستخدم,Пользовательское соглашение
PrivacyPolicy,Privacy Policy,隐私条款,プライバシー ポリシー,Política de privacidade,Política de privacidad,Datenschutzrichtlinie,Politique de confidentialité,개인정보 보호정책,سياسة الخصوصية,Политика конфиденциальности
Complete,Complete,完成,完了,Completo,Completo,Vollständig,Complet,완벽한,مكتمل,Полный
Open,Open！,开启！,オープン！,Aberto！,¡Abrir!,Öffnen！,Ouvert !,열기!,افتح!,Открыть！
GiftBoxReward,Gift Rewards,礼盒奖励,ギフト報酬,Recompensas de presente,Recompensas de regalo,Geschenkbelohnungen,Récompenses cadeaux,선물 보상,مكافآت الهدايا,Подарочные награды
MoreRewards,More Rewards,更多奖励,その他の報酬,Mais recompensas,Más recompensas,Weitere Belohnungen,Plus de récompenses,더 많은 보상,المزيد من المكافآت,Больше наград
GiveUp,Give Up,放弃,諦める,Desistir,Renunciar,Aufgeben,Abandonner,포기,استسلم,Сдаться
Drone,Drone,无人机,ドローン,Drone,Dron,Drohne,Drone,드론,طائرة بدون طيار,Дрон
DroneDes,Click on any car to use the drone.,点击任意车辆来使用无人机,ドローンを使用するには、任意の車をクリックします。,Clique em qualquer carro para usar o drone.,Haz clic en cualquier coche para usar el dron.,"Klicken Sie auf ein beliebiges Auto, um die Drohne zu verwenden.",Cliquez sur n'importe quelle voiture pour utiliser le drone.,드론을 사용하려면 차량을 클릭하세요.,انقر فوق أي سيارة لاستخدام الطائرة بدون طيار.,"Нажмите на любую машину, чтобы использовать дрон."
GuidanceTips1,Click to move a car.,点击来移动小车,車を動かすにはクリックします。,Clique para mover um carro.,Haz clic para mover un coche.,"Klicken Sie, um ein Auto zu bewegen.",Cliquez pour déplacer une voiture.,클릭하여 차량을 이동하세요.,انقر لتحريك سيارة.,"Нажмите, чтобы переместить машину."
GuidanceTips2,The car will turn at the first intersection.,小车会在第一个路口转弯,車は最初の交差点で曲がります。,O carro fará a curva no primeiro cruzamento.,El coche girará en la primera intersección.,Das Auto wird an der ersten Kreuzung abbiegen.,La voiture tournera à la première intersection.,첫 번째 교차로에서 차량이 회전합니다.,ستدور السيارة عند أول تقاطع.,Машина повернет на первом перекрестке.
WatchAd,Watch AD,观看广告,広告を見る,Assistir AD,Ver anuncio,Anzeige ansehen,Regarder la publicité,광고 보기,شاهد الإعلان,Смотрите рекламу
NewGameplay,New Gameplay,新玩法,新しいゲームプレイ,Nova jogabilidade,Nueva jugabilidad,Neues Gameplay,Nouveau gameplay,새로운 게임 플레이,طريقة لعب جديدة,Новый игровой процесс
OK,OK,好的,OK,OK,Aceptar,OK,OK,확인,حسنًا,ОК
Pedestrian,Pedestrian,行人,歩行者,Pedestre,Peatón,Fußgänger,Piéton,보행자,مشاة,Пешеход
PedestrianDes,Game fails when hitting  a pedestrian.,游戏在撞击行人时失败,歩行者にぶつかるとゲームに失敗します。,O jogo falha ao atingir um pedestre.,El juego falla al atropellar a un peatón.,"Das Spiel schlägt fehl, wenn ein Fußgänger angefahren wird.",Le jeu échoue lorsqu'il heurte un piéton.,보행자를 치면 게임이 실패합니다.,تفشل اللعبة عند الاصطدام بمشاة.,Игра терпит неудачу при сбитии пешехода.
TrafficLight,Traffic Light,信号灯,信号機,Semáforo,Semáforo,Ampel,Feu de circulation,신호등,إشارة المرور,Светофор
TrafficLightDes,"If you run a red light, you will lose 2 opportunities to move.",如果你闯红灯，你将失去两次移动机会,赤信号を無視すると、移動する機会が 2 回失われます。,"Se você passar no sinal vermelho, perderá 2 oportunidades de se mover.","Si te saltas un semáforo en rojo, perderás 2 oportunidades de moverte.","Wenn Sie eine rote Ampel überfahren, verlieren Sie 2 Möglichkeiten, sich zu bewegen.","Si vous grillez un feu rouge, vous perdrez 2 occasions de vous déplacer.",적신호를 무시하면 이동할 수 있는 기회가 2번 사라집니다.,إذا تجاوزت إشارة المرور الحمراء، فستخسر فرصتين للتحرك.,"Если вы проедете на красный свет, вы потеряете 2 возможности для движения."
Bulldozer,Bulldozer,推土机,ブルドーザー,Trator,Bulldozer,Bulldozer,Bulldozer,불도저,جرافة,Бульдозер
BulldozerDes,Use a bulldozer to clear rocks from the road.,用推土机来清理路面上的石头,ブルドーザーを使用して、道路から岩を取り除きます。,Use um trator para remover pedras da estrada.,Usa un bulldozer para despejar las rocas de la carretera.,"Verwenden Sie einen Bulldozer, um Steine ​​von der Straße zu räumen.",Utilisez un bulldozer pour dégager les rochers de la route.,불도저를 사용하여 도로에서 돌을 치우세요.,استخدم جرافة لإزالة الصخور من الطريق.,"Используйте бульдозер, чтобы расчистить дорогу от камней."
DailyRewards,Daily rewards,每日奖励,毎日の報酬,Recompensas diárias,Recompensas diarias,Tägliche Belohnungen,Récompenses quotidiennes,일일 보상,المكافآت اليومية,Ежедневные награды
Day1,First day,第一天,1 日目,Primeiro dia,Primer día,Erster Tag,Premier jour,첫째 날,اليوم الأول,Первый день
Day2,Second day,第二天,2 日目,Segundo dia,Segundo día,Zweiter Tag,Deuxième jour,둘째 날,اليوم الثاني,Второй день
Day3,Third day,第三天,3 日目,Terceiro dia,Tercer día,Dritter Tag,Troisième jour,셋째 날,اليوم الثالث,Третий день
Day4,Fourth day,第四天,4 日目,Quarto dia,Cuarto día,Vierter Tag,Quatrième jour,넷째 날,اليوم الرابع,Четвертый день
Day5,Fifth day,第五天,5 日目,Quinto dia,Quinto día,Fünfter Tag,Cinquième jour,다섯째 날,اليوم الخامس,Пятый день
Day6,Sixth day,第六天,6 日目,Sexto dia,Sexto día,Sechster Tag,Sixième jour,여섯째 날,اليوم السادس,Шестой день
Seventh day,Seventh day,第七天,7 日目,Sétimo dia,Séptimo día,Siebter Tag,Septième jour,일곱째 날,اليوم السابع,Седьмой день
Claim,Claim,领取,受け取る,Reivindicar,Reclamar,Anspruch,Réclamation,청구,اطالب,Заявка
LuckuSpin,Lucky Spin,幸运转盘,ラッキースピン,Giro da sorte,Giro de la suerte,Glücksdreh,Tour de chance,럭키 스핀,الدوران المحظوظ,Удачный спин
StartDraw,Start Draw,开始抽奖,抽選開始,Iniciar sorteio,Iniciar sorteo,Ziehung starten,Commencer le tirage au sort,추첨 시작,ابدأ السحب,Начать розыгрыш
LevelRacing,Level Racing,冲关竞赛,レベル レース,Corrida de nível,Carreras de niveles,Level-Rennen,Course de niveaux,레벨 레이싱,سباق المستويات,Гонки по уровням
RacingDes,Complete 30 levels before other players to win rewards,在其他选手之前完成30关卡来赢得奖励,他のプレイヤーより先に 30 レベルをクリアして報酬を獲得,Complete 30 níveis antes dos outros jogadores para ganhar recompensas,Completa 30 niveles antes que otros jugadores para ganar recompensas,"Schließe 30 Level vor anderen Spielern ab, um Belohnungen zu gewinnen",Terminez 30 niveaux avant les autres joueurs pour gagner des récompenses,다른 플레이어보다 먼저 30레벨을 완료하여 보상을 받으세요,أكمل 30 مستوى قبل اللاعبين الآخرين للفوز بالمكافآت,"Пройдите 30 уровней раньше других игроков, чтобы выиграть награды"
